edgelist_file,edges_basic_to_new_nodes
20251201_scion_isd_NL_core.txt,5193
20251201_scion_isd_IT_core.txt,3178
20251201_scion_isd_ZA_core.txt,2237
20251201_scion_isd_IR_core.txt,72
20251201_scion_isd_BR_core.txt,7594
20251201_scion_isd_GB_core.txt,6758
20251201_scion_isd_UA_core.txt,1518
20251201_scion_isd_CN_core.txt,253
20251201_scion_isd_AU_core.txt,3531
20251201_scion_isd_CH_core.txt,3674
20251201_scion_isd_FR_core.txt,2999
20251201_scion_isd_IN_core.txt,708
20251201_scion_isd_DE_core.txt,5635
20251201_scion_isd_RU_core.txt,4690
20251201_scion_isd_US_core.txt,14188
20251201_scion_isd_SG_core.txt,4317
