cc,out_edges,nodes_in_isd,core_control,isd_ratio,cheeger
NL,2659,850,3.1282352941176472,0.010908484234031905,0.8294117647058824
IT,1389,1009,1.3766105054509414,0.012975489313546463,0.5
ZA,1134,600,1.89,0.007675480676977395,0.9666666666666667
IR,52,568,0.09154929577464789,0.007263148472564991,0.6491228070175439
BR,2924,8113,0.3604092197707383,0.11482068555577571,0.5
GB,3930,1350,2.911111111111111,0.017437129460998953,0.3333333333333333
UA,735,1409,0.5216465578424414,0.018213076187275405,0.5
CN,154,516,0.29844961240310075,0.006593827870423615,0.7766990291262136
AU,1818,1479,1.2292089249492901,0.019135227449153858,0.3333333333333333
CH,1811,628,2.8837579617834397,0.00803654837925342,0.9484126984126984
FR,1512,1130,1.3380530973451328,0.014554165969011218,0.3333333333333333
IN,641,2744,0.233600583090379,0.03609244084338459,0.5
DE,2835,1927,1.4711987545407368,0.025076778928738743,0.8601036269430051
RU,2187,4924,0.44415109666937447,0.06667840264330305,0.9452332657200812
US,6104,17941,0.3402262973078424,0.2949367088607595,0.938312894834634
SG,1336,246,5.430894308943089,0.0031327602674307547,0.39805825242718446
