cc,out_edges,nodes_in_isd,core_control,isd_ratio,cheeger,cut_ratio
NL,2659,850,3.1282352941176472,0.01915320309155231,0.6875,0.019184652278177457
IT,1389,1009,1.3766105054509414,0.02273597872867798,0.7727272727272727,0.022289766970618033
ZA,1134,600,1.89,0.01351990806462516,0.8571428571428571,0.011804384485666104
IR,52,568,0.09154929577464789,0.012798846301178486,0.8333333333333334,0.010676156583629894
BR,2924,8113,0.3604092197707383,0.1828116902138399,1.0325423728813559,0.22220548357939138
GB,3930,1350,2.911111111111111,0.03041979314540661,0.875,0.030534351145038167
UA,735,1409,0.5216465578424414,0.03174925077176142,0.8863636363636364,0.03223443223443224
CN,154,516,0.29844961240310075,0.011627120935577637,0.8,0.009784735812133072
AU,1818,1479,1.2292089249492901,0.03332657337930102,0.875,0.033542976939203356
CH,1811,628,2.8837579617834397,0.014150837107641001,1.0,0.012903225806451613
FR,1512,1130,1.3380530973451328,0.02546249352171072,0.8571428571428571,0.025408348457350273
IN,641,2744,0.233600583090379,0.0618310462155524,0.8922155688622755,0.06480403570042685
DE,2835,1927,1.4711987545407368,0.043421438067554476,0.8048780487804879,0.044444444444444446
RU,2187,4924,0.44415109666937447,0.11095337885035715,0.9593345656192237,0.12343143965320556
US,6104,17941,0.3402262973078424,0.4042677843124,0.951209398756047,0.6757892770409116
SG,1336,246,5.430894308943089,0.005543162306496316,0,0
