cc,out_edges,nodes_in_isd,core_control,isd_ratio,cheeger,cut_ratio
NL,2659,850,3.1282352941176472,0.010908484234031905,1.0,0.001177856301531213
IT,1389,1009,1.3766105054509414,0.012975489313546463,1.0,0.000992063492063492
ZA,1134,600,1.89,0.007675480676977395,1.0,0.001669449081803005
IR,52,568,0.09154929577464789,0.007263148472564991,1.0,0.001763668430335097
BR,2924,8113,0.3604092197707383,0.11482068555577571,0.9562737642585551,0.06932911559246079
GB,3930,1350,2.911111111111111,0.017437129460998953,0.5,0.001483679525222552
UA,735,1409,0.5216465578424414,0.018213076187275405,0.5,0.0014214641080312722
CN,154,516,0.29844961240310075,0.006593827870423615,1.0,0.001941747572815534
AU,1818,1479,1.2292089249492901,0.019135227449153858,0.5,0.0013540961408259986
CH,1811,628,2.8837579617834397,0.00803654837925342,1.0,0.001594896331738437
FR,1512,1130,1.3380530973451328,0.014554165969011218,1.0,0.0008857395925597874
IN,641,2744,0.233600583090379,0.03609244084338459,1.0,0.0003645643456069996
DE,2835,1927,1.4711987545407368,0.025076778928738743,1.0,0.0005192107995846313
RU,2187,4924,0.44415109666937447,0.06667840264330305,0.9024390243902439,0.016935150764147047
US,6104,17941,0.3402262973078424,0.2949367088607595,0.9401456531634046,0.32435225511183285
SG,1336,246,5.430894308943089,0.0031327602674307547,1.0,0.004081632653061225
