edgelist_file,outgoing_edges,nodes_in_isd,cheeger
20251201_scion_isd_NL_core.txt,5193,850,6.109411764705882
20251201_scion_isd_IT_core.txt,3178,1009,3.1496531219028743
20251201_scion_isd_ZA_core.txt,2237,600,3.7283333333333335
20251201_scion_isd_IR_core.txt,72,568,0.1267605633802817
20251201_scion_isd_BR_core.txt,7594,8113,4.5364396654719235
20251201_scion_isd_GB_core.txt,6758,1350,5.005925925925926
20251201_scion_isd_UA_core.txt,1518,1409,1.0773598296664302
20251201_scion_isd_CN_core.txt,253,516,0.4903100775193798
20251201_scion_isd_AU_core.txt,3531,1479,2.387423935091278
20251201_scion_isd_CH_core.txt,3674,628,5.850318471337579
20251201_scion_isd_FR_core.txt,2999,1130,2.6539823008849557
20251201_scion_isd_IN_core.txt,708,2744,0.3706806282722513
20251201_scion_isd_DE_core.txt,5635,1927,2.9303172126885078
20251201_scion_isd_RU_core.txt,4690,4924,2.4841101694915255
20251201_scion_isd_US_core.txt,14188,17941,8.624924012158054
20251201_scion_isd_SG_core.txt,4317,246,17.548780487804876
